files_cumulative,unique_chars,total_chars,entropy_bits,zipf_slope,zipf_r2
710,3799,728597,9.63920531123636,-2.021313113396301,0.8505548732143746
720,3808,734482,9.641252907422263,-2.0214896473421797,0.8508349665515952
730,3810,741970,9.641896911927256,-2.0231050037204157,0.8505594871917722
740,3827,756143,9.64059237866174,-2.027365795822185,0.8508277419293792
750,3827,765052,9.638408971967293,-2.0297758476896957,0.8509207588141301
760,3831,771017,9.638006157585997,-2.032413533248841,0.8507413817986095
770,3842,778010,9.638907527033341,-2.035051378761092,0.8506994844697002
780,3855,785674,9.639862173781951,-2.0391364704296997,0.8504882290653741
790,3866,792982,9.642700442723386,-2.041888740808612,0.8501614029258681
800,3874,805909,9.640503071068448,-2.044963078673985,0.8504613437093324
810,3887,840178,9.636869805710525,-2.055560394970928,0.8507943252110164
820,3892,846796,9.637335013438184,-2.0585127894505675,0.8505958754981723
830,3906,855768,9.640850406246964,-2.058437290759184,0.8508161313067361
840,3933,865561,9.64432158588456,-2.058698939758726,0.8517942970338745
850,3936,871484,9.643070981806526,-2.0602787343673166,0.8518272324234547
860,3936,879003,9.641403307784493,-2.06237955369715,0.8516246840597232
870,3937,885898,9.63985650280369,-2.0645978418738125,0.8517070313855968
880,3943,891917,9.641101150031204,-2.065261905929722,0.851596917974652
890,3951,897472,9.643430426281967,-2.065864885818478,0.8514695194369191
900,3954,904244,9.643867990049356,-2.0671542577496966,0.8514652415284423
910,3990,913354,9.649783057115597,-2.067817031609934,0.85216416150771
920,3999,923579,9.647885836928127,-2.071338089117912,0.8523218901951244
930,4004,937123,9.647247072266707,-2.073487998041326,0.8523510506678649
940,4009,945780,9.648640922445786,-2.074986828802522,0.8520331614219634
950,4020,956429,9.6517537276454,-2.077569994534333,0.851622635721916
960,4044,966220,9.653728999503416,-2.078414301666735,0.8521308917956932
970,4049,976886,9.653511349122802,-2.08117133168426,0.8519280246340595
980,4049,984349,9.651491687507674,-2.082926075658498,0.8519237655154185
990,4052,993575,9.652383020859993,-2.0844958309795536,0.8517616051287993
1000,4062,1002245,9.653644184341236,-2.086260815713636,0.8516636775451112
1010,4069,1010818,9.65399507880607,-2.0891634395542975,0.8515523963746595
1020,4071,1024284,9.651601104221468,-2.0917166357928627,0.8514830462490619
1030,4072,1030536,9.651566631968937,-2.0925684415938957,0.8513748660108501
1040,4076,1041080,9.650454539852774,-2.094668574302285,0.8513205578335586
1050,4083,1048488,9.65273302852581,-2.0953955859594595,0.851193155658293
1060,4090,1058706,9.652558142238348,-2.0972411229838093,0.8511379752819056
1070,4112,1067620,9.65589436710799,-2.0981313773790644,0.851449920359788
1080,4128,1074655,9.657964615184952,-2.098394115921312,0.8517470869832675
1090,4129,1083488,9.655685938470421,-2.100985164034049,0.8518298513221717
1100,4129,1087447,9.655242124972558,-2.101965806441133,0.8516838038532561
1110,4135,1096952,9.657116811830173,-2.103011727720288,0.8515863805963347
1120,4139,1102211,9.658184233123988,-2.1032730150231513,0.851528121702064
1130,4143,1110057,9.660497975046935,-2.1051756017306795,0.8511365484955989
1140,4147,1121568,9.658725445370575,-2.107307022580513,0.8512988614787961
1150,4152,1129454,9.65859199284831,-2.1095742394061734,0.8511358158097023
1160,4157,1138996,9.659724646078404,-2.111075403835356,0.8510206342963359
1170,4160,1144813,9.660482099374816,-2.111067671538599,0.8511073434649341
1180,4160,1150516,9.660714004503237,-2.112246219606629,0.8508933350266944
1190,4166,1161422,9.661314885308817,-2.1144572192816424,0.8506267987567894
1200,4175,1168734,9.662456102884885,-2.1162558049184206,0.8505170472414567
1210,4185,1179892,9.663459909492286,-2.119404266851006,0.850641785715363
1220,4185,1186101,9.66226898268334,-2.120149256484978,0.8506525174116668
1230,4186,1194183,9.663807325568452,-2.120461357951608,0.8502658441574563
1240,4188,1203723,9.664015532704019,-2.121589653043481,0.850096365363071
1250,4190,1209961,9.665153497860116,-2.1228099378484044,0.849852214147344
1260,4191,1222297,9.663739967797989,-2.1245018200012513,0.8497246741225407
1270,4193,1229317,9.664847759881752,-2.1242742289447474,0.8495558538995581
1280,4200,1238744,9.665250757998427,-2.1262339847388936,0.8493097158044397
1290,4204,1245724,9.667051559896562,-2.127221879877065,0.8489093660725723
1300,4227,1254197,9.67020975571617,-2.127654567076571,0.8491804432005097
1310,4229,1263435,9.667759928970716,-2.1300370909570536,0.8494482284212616
1320,4232,1270852,9.667646279815873,-2.1312247180020676,0.8492922828098232
1330,4232,1276919,9.668424535992742,-2.1315047266509244,0.8490254902388107
1340,4239,1286550,9.6700414687441,-2.131998588218412,0.8488996255275563
1350,4252,1302088,9.668266084434633,-2.1356373659886394,0.8491395315953366
1360,4255,1310270,9.669086719446748,-2.1376882070376597,0.8487948129712506
1370,4257,1319048,9.669352452644812,-2.1389806031745975,0.8487844668597585
1380,4259,1324994,9.670270268109897,-2.139645885297169,0.8487111177820486
1390,4262,1334999,9.670647142507855,-2.140659626324166,0.8486431358117686
1400,4266,1345074,9.67102290442641,-2.1414900684523186,0.8486413715745353
1410,4275,1356301,9.671784588625085,-2.143510084601613,0.8487144620900697
1420,4279,1371437,9.67008332777764,-2.146765557612691,0.8487239907190861
1430,4285,1375758,9.670723975661888,-2.148145540196583,0.8486613809122499
1440,4290,1383485,9.671870317521002,-2.1484251710044378,0.8485644603761597
1450,4294,1391361,9.67215428405095,-2.14915010924092,0.8486214490724651
1460,4299,1406022,9.670402791547433,-2.152634561997466,0.8485180473206145
1470,4303,1414160,9.670343601637251,-2.1546278647606028,0.8484426949821117
