rank,char,frequency
455,划,12609
456,未,12579
457,由,12511
458,检,12493
459,知,12412
460,马,12404
461,职,12345
462,红,12333
463,李,12218
464,站,12130
465,赛,12129
466,值,12101
467,预,12085
468,使,12030
469,五,11995
470,争,11925
471,双,11912
472,根,11909
473,因,11904
474,反,11832
475,器,11828
476,满,11692
477,份,11658
478,依,11650
479,何,11629
480,被,11622
481,别,11614
482,础,11592
483,负,11547
484,土,11523
485,府,11497
486,食,11481
487,约,11461
488,念,11309
489,铁,11309
490,险,11291
491,采,11288
492,证,11231
493,显,11149
494,注,11143
495,列,11138
496,纪,11131
497,户,11075
498,直,11058
499,核,11015
500,略,11002
501,破,10921
502,聚,10849
503,友,10817
504,居,10770
505,很,10769
506,尔,10762
507,修,10750
508,承,10745
509,拉,10700
510,话,10653
511,航,10629
512,阳,10628
513,率,10578
514,功,10574
515,富,10551
516,充,10537
517,真,10524
518,足,10521
519,再,10506
520,包,10447
521,镇,10417
522,配,10405
523,百,10387
524,选,10369
525,链,10351
526,考,10302
527,版,10242
528,馆,10229
529,图,10197
530,低,10191
531,容,10180
532,突,10176
533,福,10174
534,围,9990
535,段,9881
536,湖,9785
537,严,9785
538,只,9740
539,往,9721
540,料,9719
541,仅,9704
542,介,9698
543,连,9695
544,康,9674
545,则,9648
546,片,9609
547,演,9608
548,获,9575
549,察,9573
550,克,9552
551,班,9485
552,便,9482
553,石,9464
554,探,9445
555,余,9444
556,测,9436
557,排,9393
558,远,9368
559,米,9313
560,住,9298
561,但,9295
562,没,9282
563,算,9268
564,试,9255
565,讲,9222
566,置,9202
567,响,9157
568,始,9155
569,德,9107
570,切,9076
571,象,9072
572,博,9062
573,儿,9020
574,或,9001
575,挥,8992
576,底,8960
577,批,8942
578,火,8938
579,普,8934
580,龙,8817
581,律,8762
582,必,8724
583,致,8704
584,践,8700
585,乐,8659
586,云,8641
587,望,8630
588,控,8630
589,黄,8630
590,绍,8619
591,丰,8605
592,港,8554
593,遗,8550
594,房,8546
595,藏,8544
596,又,8531
597,药,8476
598,编,8444
599,扩,8439
600,照,8434
601,措,8433
602,股,8424
603,卫,8422
604,千,8374
605,抗,8352
606,苏,8268
607,终,8257
608,评,8210
609,白,8205
610,届,8203
611,减,8200
612,存,8189
613,随,8168
614,宁,8153
615,雪,8116
616,补,8103
617,士,8100
618,素,8092
619,索,8079
620,号,8073
621,刻,7991
622,享,7983
623,么,7964
624,室,7947
625,降,7945
626,告,7918
627,画,7874
628,刘,7855
629,税,7841
630,爱,7828
631,声,7811
632,八,7806
633,愿,7795
634,执,7789
635,树,7774
636,几,7763
637,访,7762
638,剧,7740
639,亲,7728
640,训,7726
641,飞,7722
642,审,7722
643,密,7707
644,陈,7668
645,田,7666
646,守,7651
647,材,7649
648,庆,7645
649,故,7610
650,紧,7585
651,轻,7570
652,巴,7555
653,写,7539
654,那,7528
655,银,7515
656,激,7440
657,跨,7404
658,担,7390
659,销,7369
660,货,7273
661,况,7213
662,温,7156
663,帮,7154
664,督,7119
665,键,7104
666,病,7087
667,汽,7078
668,己,7078
669,细,7063
670,良,7052
671,言,7017
672,植,6983
673,献,6978
674,救,6941
675,待,6929
676,款,6907
677,络,6874
678,伟,6831
679,综,6814
680,托,6803
681,序,6792
682,街,6791
683,贯,6764
684,厂,6751
685,送,6727
686,读,6724
687,疗,6720
688,适,6700
689,警,6700
690,该,6698
691,均,6653
692,劳,6584
693,眼,6545
694,惠,6537
695,座,6522
696,课,6472
697,沙,6462
698,牌,6461
699,油,6458
700,抓,6422
701,斗,6419
702,征,6414
703,洲,6410
704,例,6400
705,初,6393
706,阿,6378
707,较,6356
708,财,6355
709,急,6353
710,离,6348
711,继,6320
712,贵,6233
713,像,6228
714,遇,6227
715,播,6224
716,她,6170
717,临,6169
718,英,6162
719,印,6146
720,宣,6145
721,许,6104
722,武,6103
723,振,6084
724,启,6069
725,既,6064
726,太,6063
727,久,6052
728,店,6038
